RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
RPS27A	HSP90AA1
GSTP1	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
CSNK2A1-2B	HSP90AA1
HNRNPA2B1	HSP90AA1
CAPN1	IL10RB
ARG1	IL10RB
HDAC8	IL10RB
ENTPD1	IL10RB
AURKB	IL10RB
IL17RD	IL10RB
RPS6KA3	IL10RB
NTRK1	IL10RB
ARID3A	IL10RB
VTA1	IL10RB
TK1	IL10RB
ZAP70	IL10RB
GFAP	IL12RB1
NTF4	IL12RB1
CHST2	IL12RB1
SLAMF6	IL12RB1
GDI2	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
CAT	IL2RG
VIP	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
SEZ6L2	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
UBE2N	IL2RG
NME2	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
HBA1	IL2RG
CA1	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
PPIE	IL2RG
MMP17	LAYN
GAS1	LAYN
CDH3	LTBR
OSM	LTBR
IL1F7	LTBR
CCL1	LTBR
ANGPT1	LTBR
AIF1	LTBR
ARG1	LTBR
HDAC8	LTBR
DSG1	LTBR
JAM2	LTBR
ARSB	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
CDH6	LTBR
MASP1	LTBR
DPP7	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
MMEL1	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
OCIAD1	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
SYNCRIP	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
CMPK1	LTBR
ATP5B	LTBR
PDE2A	LTBR
STK17B	LTBR
IMPDH2	LTBR
PDE11A	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
TNFRSF13C	LTBR
CDH15	LTBR
TNFRSF11A	LTBR
TNFRSF1B	MRC1
FSTL3	MRC1
GRN	MRC1
CD163	MRC1
NOTCH1	MRC1
TNFRSF21	MRC1
ALCAM	MRC1
DCTPP1	CSF1R
CD163	CSF1R
NOTCH3	CSF1R
RASA1	MST1R
COL23A1	MST1R
HS6ST1	MST1R
CAPN1	PAFAH1B2
EHMT2	PAFAH1B2
PTPN11	PAFAH1B2
CAMK1	PAFAH1B2
RPS27A	PAFAH1B2
GSTP1	PAFAH1B2
OSM	CDH3
JAM2	CDH3
SERPINF2	CDH3
ARSB	CDH3
KLK12	CDH3
CFC1	CDH3
IGFBP7	CDH3
SERPINC1	CDH3
FLT3	CDH3
CNDP1	CDH3
MASP1	CDH3
EPHB4	CDH3
LGMN	CDH3
PRSS27	CDH3
MAP2K2	CDH3
CDC42BPB	CDH3
CADM3	CDH3
OPCML	CDH3
OCIAD1	CDH3
DKKL1	CDH3
PPP3R1	CDH3
KLK14	CDH3
IL5	CDH3
Plasmin	CDH3
DYRK3	CDH3
ENTPD5	CDH3
ZAP70	CDH3
ADCYAP1-27	CDH3
APOD	CDH3
CMPK1	CDH3
AMH	CDH3
ATP5B	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
IMPDH2	CDH3
MAP3K7	CDH3
ABL2	CDH3
CDH15	CDH3
CAPN1	PRKCA
RAC1	PRKCA
METAP1	PRKCA
LYN-isoB	PRKCA
CA13	PRKCA
LYN	PRKCA
RPS6KA3	PRKCA
FYN	PRKCA
14-3-3	PRKCA
AKR7A2	PRKCA
FER	PRKCA
SPHK1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
SRC	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
GPC2	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
FGF4	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
HSD17B10	PRKCZ
MDM2	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
IL11	PRKCZ
CAPN1	GDI2
RPS27A-UbB	GDI2
UBE2I	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
PTPN11	GDI2
XPNPEP1	GDI2
CAT	GDI2
CASP3	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
UBE2L3	GDI2
EEF1B2	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
HSPA1A	GDI2
AKR1A1	GDI2
VTA1	GDI2
NME2	GDI2
NSFL1C	GDI2
GPI	GDI2
TKT	GDI2
TPI1	GDI2
DHH	GDI2
RPS27A	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
MMP17	ICAM3
KAT6A	ICAM3
ENTPD1	ICAM3
MATN3	ICAM3
SERPINA5	ICAM3
BSG	ICAM3
ENTPD3	ICAM3
RASA1	ICAM3
ADCYAP1-27	ICAM3
DLL4	PLAUR
CD84	PLAUR
HSD17B1	PLAUR
PDE3A	PLAUR
BCAR3	PLAUR
