MMP3	PROS1
F10A	PROS1
TFPI	PROS1
TFF3	PROS1
F10	PROS1
SHBG	PROS1
CDK8	CCL25
ASAH2	SERPINA7
RET	SERPINA7
FETUB	SERPINA7
ADAM12	SERPINA7
TFF3	SERPINA7
GPC3	SERPINA7
SHBG	SERPINA7
CSF3R	TNFSF18
IL1F7	TNFSF18
CD97	TNFSF18
ARG1	TNFSF18
AURKB	TNFSF18
STK16	TNFSF18
BIRC5	TNFSF18
PRSS27	TNFSF18
SPHK2	TNFSF18
TPM2	TNFSF18
AGR2	TNFSF18
RB1	TNFSF18
KLK8	CNTFR
CADM1	CNTFR
IGF1R	CNTFR
SLITRK5	CNTFR
EPHA2	CNTFR
NTRK2	CNTFR
CDNF	CNTFR
CD55	CNTFR
UNC5D	CNTFR
TNFRSF21	CNTFR
CDK8	AIMP1
FLRT1	AIMP1
RPSA	AIMP1
SCGB2A1	AIMP1
AURKB	CSF3R
BIRC5	CSF3R
NTRK1	CSF3R
PTH	CSF3R
AGR2	CSF3R
CD97	IL1F7
CX3CL1	IL1F7
ARG1	IL1F7
CD22	IL1F7
CA4	IL1F7
FOLH1	IL1F7
CA10	IL1F7
FLT3	IL1F7
BIRC5	IL1F7
CDH6	IL1F7
MASP1	IL1F7
EPHB4	IL1F7
LGMN	IL1F7
PRSS27	IL1F7
OPCML	IL1F7
DKKL1	IL1F7
PPP3R1	IL1F7
IL5	IL1F7
TPO	IL1F7
DYRK3	IL1F7
SPHK2	IL1F7
TPM2	IL1F7
CMPK1	IL1F7
AGR2	IL1F7
RB1	IL1F7
PDE2A	IL1F7
STK17B	IL1F7
ABL2	IL1F7
BCAR3	IL1F7
CDH15	IL1F7
CTSE	laminin
IL18RAP	MICA
ACY1	POR
ADRBK1	POR
ITGA1	POR
GPT	POR
NAGK	POR
HSD17B10	POR
CAPG	POR
CAMK1	NANOG
DSC3	NANOG
CD207	NCR2
CNTF	NCR2
IL22	NOG
NR3C1	NOG
ADAMTS4	SIGLEC6
MET	SIGLEC6
PLA2G10	SIGLEC6
B2M	SIGLEC6
PTGS2	SIGLEC6
IL17D	SIGLEC6
ANP32B	SIGLEC6
CHST2	SIGLEC6
LRRTM1	SIGLEC6
ADAMTS15	SIGLEC6
NAMPT	SIGLEC6
CD163	SIGLEC7
BMP7	SHH
SERPINA5	SHH
A2M	SHH
SOD1	CRLF2
MMP17	CRLF2
ESR1	CRLF2
GAS1	CRLF2
KREMEN2	CRLF2
ANGPTL3	CRLF2
GPC2	CRLF2
BCL2	CRLF2
TGFB3	CRLF2
CDH12	CRLF2
PSMA6	CRLF2
CAMKK1	CRLF2
MBD4	CRLF2
MED1	CRLF2
FGF4	CRLF2
NTF4	CRLF2
INHBB	CRLF2
GREM1	CRLF2
AREG	ULBP3
IFNG	ULBP3
RPS6KA5	ULBP3
MED1	ULBP3
TNFRSF18	ULBP3
CSF3	INHBA
C3A-desArg	APOA1
LAG3	APOA1
LTF	AZU1
ALPL	AZU1
LCN2	AZU1
UBE2I	AZU1
RETN	AZU1
PRTN3	AZU1
OLR1	AZU1
BPI	AZU1
LIFR	AZU1
ANXA1	AZU1
ICOSLG	AZU1
ELANE	AZU1
TNFSF14	AZU1
DIABLO	GDF5
STX1A	GDF5
ETHE1	GDF5
COTL1	GDF5
AMH	GDF5
JAK2	GDF5
IL17RB	GDF5
SNRPF	GDF5
CX3CL1	C1Q
VCAM1	C1Q
KLK12	C1Q
CA10	C1Q
CDK5	C1Q
CHRDL1	C1Q
PAK3	C1Q
None	C1Q
Lymphotoxin-a2b1	C1Q
GPR114	C1Q
C3A-desArg	C3
SERPINA3	C3
CD4	C3
CTSA	C3A-desArg
MEPE	C3A-desArg
Plasmin	C3A-desArg
FAM107B	C3A-desArg
C3A	C3A-desArg
FGF18	FAM107A
FGF20	FAM107A
Rev_HV2BE	FAM107A
CCL8	FAM107A
CD22	FAM107A
FGF1	FAM107A
FGF17	FAM107A
IFNA2	FAM107A
HBEGF	FAM107A
TK1	FAM107A
SIGLEC1	FAM107A
